Sr.No,Ib (mA),Vb(mv),T1,T2,Normalizarion 100,Inc Volt,Normalization 80,
136,630,8300,30,30,1.008893207,5800,0.857564993,99.14244077
137,630,8300,30,30,1.01636649,5800,0.863917326,99.13608848
138,635,8300,30,30,1.023839773,5800,0.87026966,99.12973619
139,635,8300,30,30,1.031313056,5810,0.876621993,99.1233839
140,635,8300,30,30,1.038786339,5810,0.882974326,99.11703161
141,640,8300,30,30,1.046259622,5810,0.88932666,99.11067932
142,635,8300,30,30,1.053732905,5820,0.895678993,99.10432703
143,640,8300,30,30,1.061206188,5820,0.902031326,99.09797474
144,635,8300,30,30,1.068679471,5820,0.908383659,99.09162245
145,635,8300,30,30,1.076152754,5820,0.914735993,99.08527016
146,640,8300,30,30,1.083626037,5830,0.921088326,99.07891787
147,635,8300,30,30,1.09109932,5830,0.927440659,99.07256558
148,630,8300,30,30,1.098572603,5830,0.933792992,99.06621329
149,630,8300,30,30,1.106045886,5830,0.940145326,99.059861
150,635,8300,30,30,1.113519169,5840,0.946497659,99.05350871
151,635,8300,30,30,1.120992452,5840,0.952849992,99.04715642
152,635,8300,30,30,1.128465735,5840,0.959202326,99.04080413
153,640,8300,30,30,1.135939018,5840,0.965554659,99.03445183
154,635,8300,30,30,1.143412301,5850,0.971906992,99.02809954
155,635,8290,30,30,1.150885584,5850,0.978259325,99.02174725
156,630,8290,30,30,1.158358867,5850,0.984611659,99.01539496
157,630,8290,30,30,1.16583215,5850,0.990963992,99.00904267
158,635,8290,30,30,1.173305433,5860,0.997316325,99.00269038
159,635,8290,30,30,1.180778716,5860,1.003668659,98.99633809
160,630,8290,30,30,1.188251999,5860,1.010020992,98.9899858
161,635,8290,30,30,1.195725282,5870,1.016373325,98.98363351
162,635,8290,30,30,1.203198565,5870,1.022725658,98.97728122
163,635,8290,30,30,1.210671848,5870,1.029077992,98.97092893
164,635,8290,30,30,1.218145131,5870,1.035430325,98.96457664
165,635,8290,30,30,1.225618414,5880,1.041782658,98.95822435
166,635,8290,30,30,1.233091697,5880,1.048134992,98.95187206
167,630,8290,30,30,1.24056498,5880,1.054487325,98.94551977
168,630,8290,30,30,1.248038263,5880,1.060839658,98.93916748
169,635,8290,30,30,1.255511546,5880,1.067191991,98.93281519
170,635,8290,30,30,1.262984829,5890,1.073544325,98.9264629
171,630,8290,30,30,1.270458112,5890,1.079896658,98.9201106
172,635,8290,30,30,1.277931395,5890,1.086248991,98.91375831
173,635,8290,30,30,1.285404678,5890,1.092601325,98.90740602
174,630,8290,30,30,1.292877961,5900,1.098953658,98.90105373
175,635,8290,30,30,1.300351244,5900,1.105305991,98.89470144
176,635,8290,30,30,1.307824527,5900,1.111658324,98.88834915
177,635,8290,30,30,1.31529781,5900,1.118010658,98.88199686
178,635,8290,30,30,1.322771093,5900,1.124362991,98.87564457
179,630,8280,30,30,1.330244376,5910,1.130715324,98.86929228
180,635,8280,30,30,1.337717659,5910,1.137067658,98.86293999
181,635,8280,30,30,1.345190942,5910,1.143419991,98.8565877
182,640,8280,30,30,1.352664225,5910,1.149772324,98.85023541
183,635,8280,30,30,1.360137508,5920,1.156124657,98.84388312
184,635,8280,30,30,1.367610791,5920,1.162476991,98.83753083
185,635,8280,30,30,1.375084074,5920,1.168829324,98.83117854
186,640,8280,30,30,1.382557357,5920,1.175181657,98.82482625
187,635,8280,30,30,1.39003064,5930,1.18153399,98.81847396
188,635,8280,30,30,1.397503923,5930,1.187886324,98.81212167
189,640,8280,30,30,1.404977206,5930,1.194238657,98.80576937
190,630,8280,30,30,1.41245049,5930,1.20059099,98.79941708
191,635,8280,30,30,1.419923773,5930,1.206943324,98.79306479
192,630,8280,30,30,1.427397056,5940,1.213295657,98.7867125
193,630,8280,30,30,1.434870339,5940,1.21964799,98.78036021
194,635,8280,30,30,1.442343622,5940,1.226000323,98.77400792
195,635,8280,30,30,1.449816905,5940,1.232352657,98.76765563
196,635,8280,30,30,1.457290188,5950,1.23870499,98.76130334
197,635,8280,30,30,1.464763471,5950,1.245057323,98.75495105
198,635,8280,30,30,1.472236754,5950,1.251409657,98.74859876
199,635,8280,30,30,1.479710037,5950,1.25776199,98.74224647
200,640,8280,30,30,1.48718332,5950,1.264114323,98.73589418
201,635,8280,30,30,1.494656603,5960,1.270466656,98.72954189
202,635,8270,30,30,1.502129886,5960,1.27681899,98.7231896
203,635,8270,30,30,1.509603169,5960,1.283171323,98.71683731
204,630,8270,30,30,1.517076452,5960,1.289523656,98.71048502
205,635,8270,30,30,1.524549735,5960,1.29587599,98.70413273
206,635,8270,30,30,1.532023018,5970,1.302228323,98.69778043
207,635,8270,30,30,1.539496301,5970,1.308580656,98.69142814
208,635,8270,30,30,1.546969584,5970,1.314932989,98.68507585
209,635,8270,30,30,1.554442867,5970,1.321285323,98.67872356
210,630,8270,30,30,1.56191615,5970,1.327637656,98.67237127
211,635,8270,30,30,1.569389433,5980,1.333989989,98.66601898
212,635,8270,30,30,1.576862716,5980,1.340342323,98.65966669
